route_id,distance_km,travel_time_min,traffic_level,road_condition,pothole_level,road_damage_level,road_blockage_level,weather_condition,accident_risk,pedestrian_density,vehicle_density,road_width,lighting_condition,historical_risk,route_risk_score
route-0050,4.298,13.733,2,1,3,2,1,3,0.598,0.8894,1.0,9.64,0,0.0259,0.600997
route-0051,20.862,84.554,2,0,2,0,0,3,0.6515,0.9161,0.9236,9.44,2,0.6348,0.554998
route-0052,9.329,26.483,1,1,0,1,2,3,0.6626,0.4005,0.5625,3.4,1,0.0881,0.441968
route-0053,18.882,103.396,2,0,3,3,2,2,0.7564,0.6254,1.0,5.24,2,0.5492,0.776391
route-0054,17.211,37.34,0,0,1,1,0,3,0.2247,0.8414,-0.0928,13.42,0,0.6477,0.33269
route-0055,8.067,21.586,2,1,3,3,0,3,0.1446,0.1906,1.0,11.21,2,0.1365,0.579929
route-0056,20.724,98.767,1,2,2,0,1,3,0.4465,0.4843,0.4598,11.39,0,0.3772,0.595588
route-0057,23.567,88.843,0,2,3,1,1,0,0.7447,0.7052,0.0747,7.25,1,0.6637,0.582474
route-0058,12.645,25.032,0,0,2,0,1,0,0.9104,0.0153,-0.0854,12.58,2,0.97,0.307658
route-0059,7.463,23.988,2,2,3,0,2,3,0.6268,0.8874,0.9971,8.95,1,0.6175,0.666687
route-0060,7.966,21.192,0,2,0,3,2,0,0.1664,0.2995,-0.1131,6.57,1,0.0561,0.350988
route-0061,6.994,23.958,1,2,1,1,2,3,0.6831,0.4977,0.52,5.55,2,0.6379,0.561383
route-0062,21.725,98.646,1,1,1,0,1,2,0.962,0.6903,0.4896,6.32,2,0.9994,0.55237
route-0063,10.081,42.686,1,2,2,2,3,3,0.0081,0.8651,0.5668,13.71,1,0.9106,0.658714
route-0064,21.816,72.122,0,2,2,1,2,2,0.7556,0.7675,0.0434,4.5,2,0.0972,0.570414
route-0065,19.244,57.815,0,2,2,1,1,2,0.4155,0.2008,0.0688,12.64,2,0.3659,0.464348
route-0066,5.202,16.438,1,1,2,0,0,1,0.8601,0.7242,0.6152,13.64,0,0.8046,0.377005
route-0067,1.813,8.104,2,0,3,2,2,2,0.381,0.6385,0.9692,10.42,2,0.4715,0.5791
route-0068,8.88,47.455,2,0,0,3,1,3,0.1398,0.9463,0.953,8.42,0,0.0972,0.479469
route-0069,11.707,45.651,2,2,3,1,2,0,0.6157,0.9391,0.9471,10.59,1,0.2173,0.617186
route-0070,9.66,34.163,2,1,2,0,0,0,0.0917,0.2121,1.0,13.68,1,0.0506,0.371244
route-0071,19.207,59.475,0,0,1,1,0,2,0.7886,0.596,-0.0535,13.82,0,0.9875,0.36867
route-0072,3.973,11.693,0,0,0,2,0,2,0.1742,0.0524,0.058,8.79,0,0.7457,0.208982
route-0073,13.048,26.867,0,1,1,0,2,2,0.6433,0.0312,0.1197,12.32,1,0.4263,0.368436
route-0074,11.48,39.999,0,1,1,0,2,2,0.9946,0.5306,-0.0111,9.66,1,0.0992,0.418583
route-0075,16.146,52.958,2,2,1,3,0,3,0.8274,0.3987,1.0,6.44,1,0.3125,0.675565
route-0076,16.953,52.985,1,0,0,0,0,2,0.5564,0.5865,0.5148,6.63,0,0.1222,0.323554
route-0077,18.381,90.75,2,0,2,2,2,1,0.6567,0.2242,0.906,12.3,0,0.3676,0.60824
route-0078,19.662,90.319,2,2,0,2,3,2,0.7624,0.9215,0.9642,5.0,2,0.1433,0.726719
route-0079,18.172,39.495,0,0,1,3,1,1,0.3116,0.3244,0.1059,9.56,1,0.8833,0.401161
route-0080,2.62,8.446,0,1,3,3,1,3,0.2156,0.5123,-0.0372,4.22,1,0.6782,0.473925
route-0081,8.439,25.977,0,1,0,0,0,1,0.2894,0.12,-0.0006,7.74,1,0.1292,0.159603
route-0082,14.071,63.846,2,1,0,3,0,3,0.4598,0.0779,0.9551,7.72,0,0.4044,0.51932
route-0083,10.613,32.553,1,0,3,2,0,1,0.5889,0.524,0.475,6.41,1,0.3395,0.422302
route-0084,12.986,25.723,0,2,1,2,2,1,0.1028,0.256,-0.0784,4.68,0,0.7592,0.438622
route-0085,15.629,48.773,1,2,3,2,2,2,0.4398,0.4689,0.5315,11.76,0,0.5914,0.612923
route-0086,11.889,37.712,0,0,2,2,0,3,0.5803,0.9542,0.0573,3.45,1,0.909,0.422712
route-0087,15.113,67.078,2,0,0,3,1,0,0.6461,0.0391,1.0,13.9,2,0.5241,0.473378
route-0088,22.154,107.562,1,1,2,0,2,2,0.3297,0.558,0.4728,5.77,0,0.8516,0.583143
route-0089,4.883,18.319,0,2,1,2,2,3,0.595,0.938,-0.0457,7.14,0,0.7917,0.502228
route-0090,20.152,58.381,2,2,0,3,0,2,0.1803,0.2142,1.0,8.35,1,0.2265,0.527837
route-0091,20.5,45.045,0,2,0,2,2,1,0.3767,0.1622,0.0795,11.48,2,0.809,0.449302
route-0092,10.744,39.201,2,2,1,3,2,3,0.534,0.3095,1.0,8.16,0,0.8351,0.701365
route-0093,23.65,84.787,1,1,3,3,0,1,0.0522,0.4806,0.4691,13.28,1,0.7114,0.546048
route-0094,3.387,9.236,0,1,3,1,0,1,0.8846,0.9305,-0.0204,7.36,1,0.374,0.343381
route-0095,6.552,14.269,1,0,2,1,1,3,0.8311,0.7588,0.4926,9.77,2,0.9059,0.463033
route-0096,4.864,26.277,2,2,3,0,0,2,0.0477,0.4198,1.0,8.03,0,0.1109,0.466911
route-0097,1.87,10.397,2,2,1,1,0,2,0.5707,0.1873,1.0,8.76,0,0.3606,0.431655
route-0098,19.194,86.347,2,2,0,3,0,3,0.2537,0.0162,1.0,6.79,1,0.7329,0.629746
route-0099,18.042,77.981,1,0,0,2,2,1,0.4646,0.6954,0.5316,11.93,2,0.0631,0.467269
route-0100,8.102,15.513,0,0,0,2,2,3,0.4734,0.0366,0.0353,6.15,2,0.8621,0.375671
route-0101,7.647,31.988,1,1,3,3,1,2,0.4962,0.4975,0.6018,8.71,0,0.8011,0.543832
route-0102,15.055,53.36,0,2,2,2,1,2,0.4459,0.7177,-0.08,7.88,1,0.4471,0.530705
route-0103,15.334,66.499,1,1,0,0,1,2,0.8011,0.6794,0.6087,4.57,2,0.6076,0.443722
route-0104,3.013,10.985,2,1,2,3,0,1,0.4499,0.371,0.9865,3.85,2,0.1377,0.483422
route-0105,7.771,32.613,0,0,1,3,2,0,0.775,0.704,-0.0685,9.73,1,0.694,0.379832
route-0106,4.554,15.977,0,1,1,3,2,2,0.3474,0.0649,0.0101,12.8,2,0.8514,0.437955
route-0107,15.848,61.126,1,2,1,0,0,1,0.0263,0.554,0.4685,11.84,1,0.5516,0.360514
route-0108,8.459,44.948,2,2,3,3,2,0,0.9724,0.6423,0.988,10.48,0,0.3445,0.708316
route-0109,15.895,62.751,0,0,3,0,2,1,0.1647,0.3227,0.0502,6.81,1,0.9409,0.429777
route-0110,7.139,38.494,2,2,2,1,2,0,0.641,0.5918,1.0,4.88,2,0.6245,0.587658
route-0111,22.288,69.302,0,0,0,0,2,2,0.2108,0.5721,0.0283,3.33,2,0.889,0.39233
route-0112,8.297,29.239,0,2,3,2,2,0,0.4396,0.4843,-0.071,9.67,0,0.3126,0.471233
route-0113,20.867,69.031,1,0,2,0,1,0,0.4496,0.1409,0.3921,13.4,1,0.8642,0.415059
route-0114,21.802,61.171,1,2,2,1,1,3,0.8791,0.4974,0.4016,7.33,1,0.4572,0.630184
route-0115,2.595,9.703,1,1,3,2,0,3,0.8825,0.7275,0.5633,7.03,0,0.4006,0.490113
route-0116,13.948,50.379,0,1,3,2,2,0,0.9751,0.3939,0.0708,6.73,0,0.9389,0.509082
route-0117,12.955,38.585,2,0,0,0,1,3,0.457,0.6063,1.0,6.61,2,0.6131,0.47677
route-0118,18.135,75.77,1,2,2,3,1,3,0.3684,0.6738,0.6152,9.42,0,0.7968,0.680022
route-0119,2.1,7.083,1,1,1,0,0,3,0.8217,0.2422,0.5174,10.71,0,0.1908,0.317366
route-0120,10.792,43.05,0,1,3,0,2,1,0.325,0.6622,0.0061,6.45,2,0.1732,0.418663
route-0121,9.471,44.523,2,2,2,3,0,2,0.2985,0.9415,1.0,11.48,2,0.7049,0.627312
route-0122,12.296,58.762,2,2,2,2,2,3,0.8184,0.9546,1.0,6.19,1,0.2876,0.742903
route-0123,11.453,46.052,1,2,3,1,2,2,0.6962,0.1373,0.5278,9.46,2,0.2425,0.604789
route-0124,15.854,46.637,0,0,3,2,0,1,0.9645,0.9779,-0.0821,10.18,0,0.8806,0.448295
route-0125,18.508,83.214,1,1,2,0,0,1,0.7387,0.8503,0.389,13.14,2,0.4179,0.492264
route-0126,2.318,8.365,1,1,1,2,0,2,0.6028,0.9285,0.4604,8.0,2,0.6413,0.432069
route-0127,4.519,19.437,2,1,2,1,1,1,0.4589,0.2573,0.9247,11.1,2,0.7908,0.490039
route-0128,5.449,21.285,2,1,3,2,2,0,0.9817,0.4775,1.0,3.08,0,0.3836,0.587192
route-0129,8.917,47.668,2,2,0,2,2,1,0.6678,0.4654,0.9183,10.55,0,0.9231,0.581397
route-0130,17.032,83.797,2,1,2,1,0,3,0.455,0.9888,0.9697,10.72,0,0.9128,0.626939
route-0131,20.076,44.065,0,2,0,3,1,0,0.1122,0.8288,0.0967,5.22,2,0.5367,0.448499
route-0132,11.441,39.516,2,0,3,0,1,0,0.1319,0.4154,1.0,9.15,1,0.6728,0.410167
route-0133,7.225,20.095,0,2,1,0,1,0,0.9941,0.9346,-0.1034,13.27,2,0.0317,0.339644
route-0134,18.731,67.115,2,2,3,2,1,3,0.3756,0.6827,1.0,8.93,1,0.6535,0.724211
route-0135,13.588,40.143,2,0,1,0,1,3,0.7191,0.4241,0.971,5.53,2,0.4606,0.484636
route-0136,21.192,58.605,0,0,3,0,0,0,0.0336,0.5978,0.0488,3.54,2,0.7405,0.318807
route-0137,6.389,21.624,0,0,2,1,2,2,0.5979,0.6725,-0.043,6.32,2,0.1433,0.376762
route-0138,8.261,22.334,0,2,1,3,0,2,0.6713,0.7858,-0.0435,7.58,2,0.1492,0.447508
route-0139,12.154,48.778,0,1,1,3,2,3,0.5573,0.1341,-0.0617,5.24,1,0.6467,0.533394
route-0140,3.58,18.924,2,0,0,2,2,0,0.1882,0.7617,1.0,9.15,0,0.4794,0.377589
route-0141,23.033,62.502,0,0,1,0,1,1,0.6044,0.2045,0.0996,9.07,2,0.7755,0.352596
route-0142,9.583,24.314,1,1,3,3,2,3,0.9143,0.3707,0.4793,9.19,1,0.2213,0.629243
route-0143,22.532,111.299,2,2,3,2,1,1,0.5698,0.2457,1.0,13.38,1,0.3376,0.709042
route-0144,17.78,46.934,2,1,3,1,1,1,0.7203,0.4883,1.0,8.96,0,0.6418,0.572899
route-0145,20.551,95.034,2,0,0,3,2,1,0.7072,0.0091,1.0,7.11,0,0.6178,0.599196
route-0146,12.372,58.154,1,0,0,3,3,2,0.9775,0.0171,0.5752,10.41,2,0.8062,0.547074
route-0147,3.667,12.621,0,0,1,2,1,3,0.3731,0.406,0.0156,13.89,0,0.2259,0.315565
route-0148,16.209,57.206,2,0,0,3,2,3,0.6367,0.7028,0.8998,12.3,0,0.6449,0.626765
route-0149,23.411,59.824,2,0,1,1,2,3,0.0466,0.0743,1.0,12.89,1,0.5635,0.564817
route-0150,8.576,30.989,0,2,1,3,1,1,0.2405,0.8347,-0.0266,12.86,2,0.3317,0.406459
route-0151,23.741,107.257,2,0,2,0,0,0,0.6052,0.6139,1.0,13.66,1,0.3264,0.494088
route-0152,11.637,31.56,0,1,3,3,2,3,0.7722,0.2954,-0.0609,3.81,0,0.268,0.587854
route-0153,4.971,17.772,1,1,2,0,1,3,0.7613,0.1022,0.401,7.74,1,0.557,0.411383
route-0154,3.516,14.587,2,0,2,3,3,3,0.7792,0.7248,1.0,13.92,1,0.2427,0.649895
route-0155,5.314,20.693,1,1,2,3,0,3,0.4211,0.4842,0.3985,5.77,1,0.2466,0.486249
route-0156,5.9,14.874,0,0,2,0,1,3,0.4402,0.4306,0.0776,10.16,1,0.5944,0.320237
route-0157,17.144,81.667,1,1,1,3,1,3,0.782,0.3259,0.4473,11.64,2,0.365,0.592145
route-0158,23.938,51.084,0,2,0,3,0,3,0.8313,0.0692,0.0835,11.75,1,0.673,0.480329
route-0159,7.185,26.568,0,2,3,3,2,3,0.4008,0.5066,0.1009,10.61,2,0.5436,0.589423
route-0160,21.649,106.183,2,2,0,0,2,2,0.647,0.0443,1.0,10.45,0,0.3996,0.61544
route-0161,11.185,46.915,0,0,2,1,2,1,0.3741,0.4631,0.0431,10.59,1,0.1507,0.364933
route-0162,8.147,20.536,0,0,1,2,1,1,0.4829,0.4762,-0.0148,10.66,2,0.3189,0.322185
route-0163,4.089,13.376,1,2,0,1,2,1,0.1745,0.1601,0.5144,13.54,2,0.2319,0.348366
route-0164,15.911,38.38,1,1,0,1,1,3,0.7047,0.2058,0.5606,11.9,0,0.0626,0.439712
route-0165,5.707,14.91,1,0,3,0,1,2,0.3886,0.3925,0.4074,6.87,2,0.4579,0.40416
route-0166,19.514,72.21,2,2,0,1,0,2,0.183,0.6934,1.0,7.6,0,0.1379,0.486608
route-0167,15.799,48.738,2,2,1,1,0,1,0.842,0.6194,1.0,13.47,1,0.4846,0.521655
route-0168,14.136,59.41,2,1,3,3,1,3,0.0827,0.0309,1.0,6.21,0,0.2749,0.631905
route-0169,11.79,32.803,2,1,0,0,2,2,0.8226,0.0416,1.0,9.01,2,0.9898,0.521573
route-0170,18.405,76.139,1,0,3,2,0,3,0.7756,0.2369,0.5746,9.47,0,0.3506,0.557771
route-0171,5.235,20.203,0,0,1,0,2,2,0.5388,0.3237,0.049,6.18,2,0.2673,0.329328
route-0172,16.784,57.451,0,0,3,0,2,1,0.8661,0.2497,0.0507,12.11,2,0.7615,0.449075
route-0173,14.492,44.213,1,2,3,3,2,0,0.5156,0.2782,0.6047,7.06,1,0.9503,0.612432
route-0174,18.918,80.107,2,0,3,2,2,3,0.9681,0.8248,0.9987,6.55,0,0.2836,0.726543
route-0175,20.68,102.238,1,2,0,0,1,0,0.9294,0.158,0.4896,13.91,0,0.4278,0.463393
route-0176,21.348,91.003,1,0,2,0,1,0,0.6645,0.6489,0.3924,9.88,1,0.726,0.450733
route-0177,3.552,9.994,0,0,1,3,2,1,0.68,0.0093,0.0469,11.99,2,0.9882,0.350577
route-0178,3.094,11.22,1,0,0,0,1,1,0.7735,0.7532,0.412,13.92,1,0.1429,0.228835
route-0179,16.125,78.237,1,1,1,1,2,3,0.0867,0.1005,0.5606,9.49,0,0.384,0.496409
route-0180,4.646,12.35,1,2,0,1,2,2,0.0268,0.8471,0.5902,5.26,2,0.6069,0.435394
route-0181,16.039,61.165,0,1,3,0,2,0,0.8887,0.0121,-0.0333,6.48,2,0.3868,0.449751
route-0182,13.793,41.414,0,1,0,0,0,2,0.0398,0.0605,0.0694,8.57,0,0.6286,0.214971
route-0183,17.291,33.867,0,2,1,2,0,1,0.5364,0.3907,0.0322,12.18,0,0.6811,0.390234
route-0184,17.924,62.715,0,0,1,0,0,3,0.6088,0.3093,0.058,11.15,2,0.1194,0.3362
route-0185,5.186,11.953,1,2,2,1,2,2,0.8864,0.7714,0.387,11.88,2,0.272,0.550943
route-0186,14.475,51.79,0,1,3,2,2,1,0.1573,0.7733,0.0946,10.42,1,0.1153,0.465359
route-0187,20.821,58.278,0,0,0,3,0,1,0.5529,0.9139,0.0578,7.61,0,0.3218,0.36628
route-0188,7.603,18.837,0,2,2,0,0,1,0.8043,0.9814,0.109,3.76,0,0.4651,0.377236
route-0189,8.864,27.353,2,1,0,2,2,2,0.6227,0.4639,1.0,8.43,2,0.7726,0.574181
route-0190,18.611,71.422,0,0,0,3,3,2,0.8396,0.8772,0.1082,3.02,2,0.6573,0.579588
route-0191,3.839,15.143,2,0,3,3,0,2,0.0439,0.2315,1.0,7.54,0,0.8956,0.496712
route-0192,14.567,68.977,2,0,3,0,0,3,0.9642,0.2368,0.9426,6.47,2,0.8008,0.594131
route-0193,8.656,37.269,1,0,0,1,2,0,0.1057,0.4496,0.4554,4.33,0,0.3583,0.302121
route-0194,11.925,36.16,0,0,1,2,2,0,0.8359,0.3278,-0.0981,5.73,0,0.3557,0.364196
route-0195,7.354,30.579,0,0,3,3,2,1,0.462,0.8039,-0.0864,3.13,0,0.8304,0.46254
route-0196,20.033,88.441,1,2,0,2,0,0,0.1978,0.646,0.5742,4.01,0,0.8473,0.442491
route-0197,22.701,74.32,0,0,3,3,1,3,0.3539,0.9083,-0.054,7.91,0,0.1486,0.562292
route-0198,16.064,70.28,1,1,3,0,1,1,0.1995,0.8847,0.5062,9.94,1,0.8022,0.527331
route-0199,19.093,55.744,1,1,3,2,2,2,0.2704,0.0261,0.5233,3.32,1,0.8107,0.632931
route-0200,12.113,45.477,1,2,1,1,2,1,0.5337,0.7912,0.5569,11.4,1,0.9478,0.551942
route-0201,10.24,23.058,0,0,1,2,2,2,0.0282,0.7006,0.1074,9.2,2,0.5631,0.399731
route-0202,21.337,94.05,1,2,2,1,0,0,0.6017,0.0199,0.4947,6.65,0,0.6141,0.490754
route-0203,5.493,13.239,1,0,0,1,0,0,0.8607,0.9606,0.4697,13.36,2,0.3956,0.255671
route-0204,4.57,10.175,0,2,3,3,0,2,0.6655,0.8145,-0.0292,11.07,0,0.2945,0.436942
route-0205,17.295,97.794,2,1,0,1,2,1,0.5656,0.9367,0.9138,11.2,2,0.238,0.56559
route-0206,21.42,61.084,0,2,2,3,3,1,0.6932,0.3505,0.0689,10.92,0,0.0481,0.60181
route-0207,5.243,15.515,1,1,3,2,0,3,0.651,0.6872,0.419,3.81,2,0.8458,0.527622
route-0208,22.912,50.315,0,1,1,3,0,0,0.594,0.6136,-0.0041,3.34,1,0.9424,0.449918
route-0209,5.035,10.919,0,1,1,1,2,2,0.2815,0.2375,-0.1081,9.29,2,0.8399,0.344248
route-0210,11.121,39.025,1,2,3,1,0,1,0.2918,0.0819,0.5825,6.39,2,0.3975,0.479381
route-0211,3.551,10.445,2,1,1,2,1,1,0.0446,0.4397,0.9432,12.21,1,0.5642,0.431305
route-0212,3.676,13.736,2,1,3,1,1,3,0.6871,0.9364,1.0,5.59,2,0.2989,0.619561
route-0213,2.281,8.825,2,2,1,0,1,1,0.9722,0.8085,0.9103,7.66,0,0.9883,0.504666
route-0214,15.613,69.972,2,1,2,0,2,3,0.3261,0.2762,0.99,12.61,2,0.7866,0.616528
route-0215,10.941,40.963,1,0,1,0,2,0,0.8675,0.8801,0.5907,5.91,1,0.6548,0.409289
route-0216,5.374,16.027,1,0,3,0,1,1,0.7457,0.9208,0.5953,3.22,0,0.8174,0.410089
route-0217,12.561,64.531,2,2,0,1,2,3,0.2694,0.4168,1.0,5.07,1,0.2114,0.602789
route-0218,18.589,50.05,1,0,1,0,2,3,0.7805,0.5243,0.5165,4.91,0,0.8752,0.478563
route-0219,2.244,9.212,0,1,1,2,1,3,0.9231,0.6812,-0.0619,8.38,2,0.4461,0.413569
route-0220,13.905,37.675,1,0,2,0,1,0,0.8538,0.7798,0.4314,5.43,0,0.2251,0.388269
route-0221,13.049,49.995,2,0,3,1,2,0,0.2524,0.8051,0.9533,13.64,0,0.6427,0.518705
route-0222,9.346,36.985,1,0,3,2,2,3,0.1023,0.5115,0.539,12.28,2,0.3742,0.54435
route-0223,8.216,29.883,0,1,0,2,2,2,0.2611,0.7111,0.0942,6.29,1,0.1499,0.398761
route-0224,19.622,84.672,2,1,2,1,2,3,0.2594,0.4186,0.9732,3.39,1,0.7081,0.66905
route-0225,17.847,39.966,0,2,3,2,0,1,0.0976,0.1279,-0.0579,11.89,1,0.7629,0.438815
route-0226,9.052,30.076,0,0,2,1,1,3,0.3717,0.5856,-0.0087,4.3,1,0.0537,0.372423
route-0227,15.465,52.888,1,0,0,3,1,0,0.1374,0.2003,0.4782,9.26,0,0.9066,0.35937
route-0228,17.603,63.944,0,1,2,1,0,0,0.2735,0.7612,-0.0795,11.41,1,0.4896,0.32534
route-0229,15.326,64.083,2,1,3,3,1,0,0.5338,0.7307,1.0,12.81,0,0.7568,0.612913
route-0230,1.593,7.684,2,0,1,2,0,3,0.5887,0.167,1.0,6.28,2,0.2908,0.434302
route-0231,9.101,37.27,2,0,2,3,0,1,0.0191,0.2243,1.0,5.32,1,0.0219,0.428331
route-0232,17.5,42.115,0,1,2,0,0,0,0.8361,0.0482,-0.0922,7.89,2,0.1236,0.317443
route-0233,6.124,17.345,2,2,0,2,0,2,0.6056,0.1372,1.0,4.15,2,0.7188,0.46901
route-0234,3.891,11.492,0,2,1,2,0,2,0.4098,0.1604,0.0116,13.01,2,0.6882,0.326187
route-0235,1.787,4.349,0,0,3,1,2,0,0.7236,0.9048,0.0346,8.02,2,0.9773,0.361504
route-0236,19.797,81.014,0,1,2,2,0,0,0.0097,0.1384,0.0353,6.62,0,0.8945,0.365696
route-0237,17.994,44.972,1,1,1,0,1,2,0.6899,0.4782,0.4812,12.75,1,0.1668,0.440624
route-0238,23.585,83.62,0,0,3,3,2,3,0.6113,0.7792,0.0267,12.49,0,0.88,0.656488
route-0239,12.369,60.526,1,0,3,3,1,2,0.7046,0.6779,0.5642,9.34,0,0.565,0.589523
route-0240,9.112,40.535,2,2,0,3,0,3,0.6637,0.6414,0.9157,12.09,1,0.8921,0.556089
route-0241,22.523,115.206,2,1,3,1,1,2,0.3309,0.2782,1.0,9.06,0,0.3786,0.62692
route-0242,11.494,31.547,2,1,0,3,0,3,0.6534,0.1026,0.979,9.13,2,0.0002,0.514514
route-0243,15.429,48.645,1,2,1,3,1,0,0.8443,0.332,0.5642,9.6,0,0.7167,0.530247
route-0244,3.692,17.677,2,0,0,2,2,2,0.522,0.7021,0.891,4.81,2,0.1404,0.48523
route-0245,3.907,17.64,2,0,1,0,1,1,0.8246,0.1906,0.9611,11.33,1,0.0465,0.36351
route-0246,4.272,11.218,1,1,1,3,3,0,0.9353,0.8388,0.4959,8.59,2,0.9212,0.55414
route-0247,17.936,51.778,0,0,3,2,1,3,0.9159,0.7624,-0.0543,13.6,2,0.9705,0.532309
route-0248,10.787,51.419,2,2,2,2,2,1,0.2097,0.7144,1.0,13.13,0,0.1327,0.626902
