route_id,distance_km,travel_time_min,traffic_level,road_condition,pothole_level,road_damage_level,road_blockage_level,weather_condition,accident_risk,pedestrian_density,vehicle_density,road_width,lighting_condition,historical_risk,route_risk_score
route-0173,14.492,44.213,1,2,3,3,2,0,0.5156,0.2782,0.6047,7.06,1,0.9503,0.612432
route-0181,16.039,61.165,0,1,3,0,2,0,0.8887,0.0121,-0.0333,6.48,2,0.3868,0.449751
route-0093,23.65,84.787,1,1,3,3,0,1,0.0522,0.4806,0.4691,13.28,1,0.7114,0.546048
route-0010,21.255,87.453,0,0,3,0,2,1,0.6598,0.9468,-0.0804,8.8,0,0.6066,0.506598
route-0358,6.185,27.095,2,2,3,3,1,1,0.6626,0.0779,1.0,9.32,0,0.4866,0.616648
route-0051,20.862,84.554,2,0,2,0,0,3,0.6515,0.9161,0.9236,9.44,2,0.6348,0.554998
route-0464,21.048,52.479,2,2,3,2,2,2,0.6738,0.6903,0.9748,6.33,2,0.1251,0.747193
route-0075,16.146,52.958,2,2,1,3,0,3,0.8274,0.3987,1.0,6.44,1,0.3125,0.675565
route-0667,12.488,43.854,0,1,2,0,0,2,0.7853,0.502,0.11,9.17,1,0.9537,0.362692
route-0014,19.513,60.896,0,0,1,1,0,3,0.2785,0.2498,0.1016,7.87,0,0.8613,0.325994
route-0739,20.746,51.166,2,1,3,1,0,3,0.179,0.7476,0.8826,7.86,1,0.526,0.590847
route-0175,20.68,102.238,1,2,0,0,1,0,0.9294,0.158,0.4896,13.91,0,0.4278,0.463393
route-0770,18.755,84.859,2,1,3,2,1,2,0.7705,0.6303,1.0,10.56,1,0.6331,0.713002
route-0540,22.148,47.39,0,2,1,3,0,3,0.006,0.8699,-0.1032,5.12,2,0.6344,0.492243
route-0403,17.433,62.241,2,0,1,1,1,1,0.2604,0.1845,1.0,3.38,1,0.3169,0.458536
route-0452,11.177,49.006,1,2,2,2,0,2,0.9946,0.7637,0.4163,12.38,2,0.6574,0.547273
route-0278,4.151,10.217,0,1,1,2,0,1,0.6516,0.2536,0.0852,7.66,1,0.3656,0.296802
route-0266,8.96,24.015,1,1,3,2,1,0,0.6456,0.082,0.4473,12.09,0,0.8913,0.469421
route-0360,1.504,6.023,0,2,1,3,1,3,0.2057,0.8774,-0.0481,11.74,0,0.6796,0.442339
route-0576,7.845,25.608,1,2,0,0,1,1,0.8061,0.6778,0.5693,9.07,1,0.882,0.406375
route-0321,6.468,23.212,0,2,3,3,2,0,0.4319,0.7864,-0.0845,6.7,0,0.4759,0.505408
route-0629,17.995,37.82,0,0,3,1,1,0,0.4064,0.5207,-0.1191,7.96,2,0.8325,0.381033
route-0233,6.124,17.345,2,2,0,2,0,2,0.6056,0.1372,1.0,4.15,2,0.7188,0.46901
route-0783,18.181,41.499,1,2,0,3,1,0,0.5533,0.5348,0.5579,12.6,1,0.9704,0.499988
route-0435,13.251,38.162,1,1,1,1,2,2,0.4103,0.8602,0.5987,9.97,1,0.846,0.49611
route-0357,4.366,12.913,0,1,0,2,0,2,0.461,0.5905,-0.0627,5.68,2,0.159,0.26175
route-0704,17.605,96.854,2,2,2,1,2,0,0.7263,0.3811,1.0,3.86,2,0.0773,0.658566
route-0508,9.215,24.514,1,0,1,0,2,0,0.3438,0.9765,0.5337,5.21,1,0.0684,0.336045
route-0214,15.613,69.972,2,1,2,0,2,3,0.3261,0.2762,0.99,12.61,2,0.7866,0.616528
route-0641,19.692,42.931,0,1,0,1,2,0,0.9759,0.9937,-0.0039,9.75,0,0.5465,0.407396
route-0690,9.22,35.919,0,0,1,0,0,3,0.7526,0.8077,0.0087,3.5,2,0.8018,0.322707
route-0248,10.787,51.419,2,2,2,2,2,1,0.2097,0.7144,1.0,13.13,0,0.1327,0.626902
route-0009,22.034,76.055,2,1,1,1,0,0,0.3242,0.0195,1.0,12.67,2,0.8317,0.448673
route-0355,8.977,20.98,0,2,0,3,0,3,0.4556,0.6845,0.0505,8.12,0,0.2317,0.409801
route-0029,19.359,48.934,2,0,0,2,2,2,0.8184,0.7511,1.0,5.47,0,0.1991,0.55229
route-0748,11.262,46.575,2,2,2,1,2,2,0.5133,0.2107,0.9324,5.87,0,0.9219,0.637404
route-0647,8.735,27.755,0,2,0,3,0,1,0.561,0.7163,0.1071,11.88,0,0.6713,0.36774
route-0398,9.036,35.463,2,0,3,1,0,2,0.8979,0.5036,0.9815,3.6,1,0.3728,0.528049
route-0495,23.973,51.996,1,0,2,2,2,3,0.2459,0.983,0.462,8.06,1,0.5995,0.607225
route-0524,15.076,33.354,0,0,1,0,1,2,0.233,0.6596,-0.1032,3.63,0,0.5185,0.307935
route-0326,4.68,21.458,2,2,0,3,2,0,0.1703,0.284,1.0,9.8,1,0.0531,0.456349
route-0011,18.493,78.706,2,0,2,3,2,2,0.8996,0.4515,0.9395,3.7,1,0.021,0.702751
route-0588,1.681,8.304,1,1,2,3,1,1,0.1525,0.5112,0.4399,11.43,2,0.8642,0.431427
route-0386,10.865,41.91,1,2,1,1,1,3,0.2393,0.1745,0.546,9.56,1,0.7172,0.464129
route-0423,3.789,12.219,0,0,2,1,2,3,0.2329,0.4247,-0.0002,11.41,0,0.766,0.366144
route-0265,8.888,32.187,2,1,1,2,1,1,0.3132,0.7857,1.0,10.05,0,0.2767,0.49091
route-0606,13.436,73.803,2,0,3,1,2,2,0.8176,0.3484,0.9049,13.08,2,0.6617,0.659979
route-0174,18.918,80.107,2,0,3,2,2,3,0.9681,0.8248,0.9987,6.55,0,0.2836,0.726543
route-0405,8.15,27.604,1,2,1,3,0,3,0.1394,0.551,0.4539,7.42,0,0.8409,0.470342
route-0638,15.407,64.642,2,0,3,0,0,3,0.6315,0.3581,0.9375,12.88,2,0.2969,0.520597
route-0654,17.506,54.061,1,2,1,1,0,3,0.2125,0.6705,0.4924,7.24,0,0.4876,0.498619
route-0263,17.834,74.478,0,1,1,1,2,2,0.1146,0.671,0.0162,3.6,0,0.751,0.460026
route-0627,10.944,33.765,0,2,2,1,0,3,0.9634,0.2969,-0.0723,13.36,1,0.4816,0.453346
route-0059,7.463,23.988,2,2,3,0,2,3,0.6268,0.8874,0.9971,8.95,1,0.6175,0.666687
route-0584,5.945,31.866,2,2,1,3,1,0,0.7694,0.2501,0.993,7.12,0,0.3645,0.539431
route-0478,11.448,33.521,1,2,3,1,0,0,0.3345,0.7251,0.5576,4.39,2,0.9919,0.469728
route-0773,5.245,16.937,2,1,0,2,3,3,0.5113,0.193,1.0,8.04,2,0.7231,0.577671
route-0034,6.154,23.585,1,1,0,3,1,2,0.8534,0.9534,0.4806,11.22,1,0.5461,0.462897
route-0438,10.658,51.302,1,2,0,3,2,1,0.1119,0.7345,0.6039,8.74,0,0.829,0.542584
route-0024,19.742,43.255,1,0,0,3,1,1,0.8166,0.4603,0.4532,11.75,0,0.2276,0.415736
route-0523,23.554,52.439,0,1,0,3,0,2,0.9619,0.639,-0.0469,4.89,2,0.6749,0.491395
route-0111,22.288,69.302,0,0,0,0,2,2,0.2108,0.5721,0.0283,3.33,2,0.889,0.39233
route-0018,13.263,65.585,1,0,2,1,0,2,0.3162,0.7519,0.3974,8.04,1,0.9985,0.41929
route-0199,19.093,55.744,1,1,3,2,2,2,0.2704,0.0261,0.5233,3.32,1,0.8107,0.632931
route-0688,7.586,14.135,0,0,0,3,2,2,0.4776,0.7815,0.0903,5.51,1,0.9312,0.411279
route-0608,8.769,35.18,0,0,3,2,1,3,0.9728,0.6017,0.0328,4.52,2,0.944,0.517346
route-0482,4.797,15.552,1,1,0,0,0,3,0.4462,0.3693,0.5063,9.47,0,0.5189,0.281259
route-0591,8.696,25.906,0,0,0,0,2,2,0.2853,0.2802,0.0256,7.74,0,0.2523,0.233126
route-0578,11.377,44.614,1,1,2,2,2,1,0.6356,0.0869,0.4534,11.48,1,0.8452,0.504899
route-0163,4.089,13.376,1,2,0,1,2,1,0.1745,0.1601,0.5144,13.54,2,0.2319,0.348366
route-0043,3.594,8.806,0,1,1,2,1,3,0.5309,0.4255,0.059,6.64,2,0.7029,0.385091
route-0727,8.053,16.589,0,0,3,2,2,1,0.0172,0.497,-0.0255,7.1,1,0.5466,0.374216
route-0264,16.005,36.242,0,1,0,2,2,3,0.3571,0.6713,-0.0637,6.14,1,0.0698,0.43379
route-0149,23.411,59.824,2,0,1,1,2,3,0.0466,0.0743,1.0,12.89,1,0.5635,0.564817
route-0583,21.602,46.425,1,2,3,0,2,3,0.2984,0.1072,0.4639,10.95,1,0.4021,0.587303
route-0725,7.064,29.861,1,2,0,3,0,2,0.0765,0.5045,0.5488,11.06,0,0.0202,0.393219
route-0551,16.638,40.564,0,0,0,2,0,0,0.2111,0.7918,-0.0298,8.72,0,0.9621,0.247421
route-0702,6.781,16.813,0,0,3,0,0,1,0.5704,0.8291,0.0434,3.79,1,0.4265,0.271819
route-0432,13.556,31.375,1,1,0,2,1,1,0.7429,0.092,0.5826,4.04,2,0.3368,0.445388
route-0481,20.501,75.208,0,1,2,2,2,1,0.3777,0.7375,-0.0947,8.68,2,0.1926,0.517256
route-0312,13.272,43.765,0,0,1,1,0,0,0.1916,0.0318,0.034,7.27,1,0.4899,0.217682
route-0415,19.39,103.777,2,2,0,3,0,0,0.9234,0.4795,0.9548,6.99,0,0.817,0.611057
route-0138,8.261,22.334,0,2,1,3,0,2,0.6713,0.7858,-0.0435,7.58,2,0.1492,0.447508
route-0505,2.675,12.784,1,1,0,3,2,0,0.3839,0.7952,0.5912,9.81,1,0.3396,0.417343
route-0370,19.989,45.43,1,1,3,1,2,1,0.5778,0.8418,0.393,5.91,0,0.8195,0.582019
route-0726,22.177,74.837,0,2,3,1,1,2,0.5124,0.0234,-0.0542,5.23,1,0.2643,0.535355
route-0418,19.103,77.98,2,0,1,1,0,0,0.8459,0.9418,1.0,6.83,0,0.1606,0.480152
route-0590,20.948,65.318,1,1,2,1,1,3,0.5099,0.6439,0.453,5.96,0,0.2806,0.552931
route-0521,20.531,81.916,1,2,3,1,2,0,0.139,0.8738,0.4533,11.12,1,0.4998,0.590399
route-0515,2.96,11.12,2,1,2,3,0,2,0.3739,0.6945,1.0,8.44,2,0.2683,0.542629
route-0242,11.494,31.547,2,1,0,3,0,3,0.6534,0.1026,0.979,9.13,2,0.0002,0.514514
route-0006,22.046,118.574,2,2,2,1,1,3,0.2649,0.2466,1.0,5.89,0,0.5846,0.678447
route-0150,8.576,30.989,0,2,1,3,1,1,0.2405,0.8347,-0.0266,12.86,2,0.3317,0.406459
route-0562,23.576,51.515,1,0,1,1,0,1,0.7274,0.2991,0.5756,13.04,1,0.1592,0.374122
route-0273,14.828,50.24,0,2,0,1,1,1,0.9582,0.5994,0.0153,3.2,2,0.7195,0.425229
route-0387,20.096,69.103,1,1,3,0,0,0,0.9768,0.6189,0.5871,13.85,2,0.5075,0.494575
route-0536,8.285,37.463,2,1,0,1,0,2,0.6963,0.6779,1.0,10.63,2,0.332,0.463983
route-0721,6.784,19.564,1,1,1,3,1,2,0.3176,0.3914,0.4861,7.39,2,0.9124,0.492455
route-0120,10.792,43.05,0,1,3,0,2,1,0.325,0.6622,0.0061,6.45,2,0.1732,0.418663
route-0410,2.45,6.065,1,2,2,3,1,1,0.7912,0.154,0.452,10.05,0,0.6366,0.499714
route-0085,15.629,48.773,1,2,3,2,2,2,0.4398,0.4689,0.5315,11.76,0,0.5914,0.612923
route-0597,15.891,76.345,1,0,2,0,0,1,0.1162,0.6486,0.5318,13.69,2,0.3246,0.384267
route-0668,17.994,51.533,1,2,0,2,1,2,0.8117,0.637,0.4814,13.64,0,0.0981,0.496884
route-0017,2.78,10.609,2,0,1,0,2,1,0.1199,0.8903,0.9391,9.54,1,0.6194,0.387101
route-0503,22.539,53.98,1,0,0,3,1,0,0.5197,0.2367,0.3975,9.6,1,0.4385,0.410763
route-0040,20.002,58.32,0,1,2,3,1,1,0.5217,0.6505,0.0278,13.12,2,0.7746,0.530055
route-0238,23.585,83.62,0,0,3,3,2,3,0.6113,0.7792,0.0267,12.49,0,0.88,0.656488
route-0307,6.4,18.82,0,0,3,2,3,2,0.1196,0.7891,-0.1179,3.46,2,0.7835,0.496275
route-0382,21.171,44.74,0,2,1,0,3,1,0.6538,0.4712,0.1003,3.5,1,0.7013,0.484421
route-0294,22.467,90.553,1,1,0,3,2,1,0.5759,0.6491,0.4219,11.58,2,0.3551,0.580476
route-0528,21.994,77.722,0,2,0,3,0,1,0.2738,0.6281,-0.0499,13.08,0,0.698,0.40877
route-0139,12.154,48.778,0,1,1,3,2,3,0.5573,0.1341,-0.0617,5.24,1,0.6467,0.533394
route-0696,15.197,73.271,1,1,1,0,2,3,0.7826,0.9286,0.5606,11.88,1,0.5533,0.57771
route-0086,11.889,37.712,0,0,2,2,0,3,0.5803,0.9542,0.0573,3.45,1,0.909,0.422712
route-0579,6.901,20.952,0,0,0,0,2,3,0.9622,0.424,0.0021,11.04,0,0.4797,0.333985
route-0679,22.278,71.585,0,2,3,3,2,1,0.7085,0.507,0.0381,5.85,2,0.6978,0.676345
route-0713,8.573,40.655,1,1,1,0,1,3,0.8853,0.2885,0.6002,13.88,0,0.7535,0.444601
route-0750,3.755,10.662,1,1,1,3,0,3,0.4564,0.576,0.4844,7.39,2,0.8341,0.457057
route-0665,16.779,40.875,1,1,3,2,0,2,0.123,0.7953,0.516,11.72,2,0.347,0.488579
route-0189,8.864,27.353,2,1,0,2,2,2,0.6227,0.4639,1.0,8.43,2,0.7726,0.574181
route-0607,17.504,62.036,0,0,1,1,1,3,0.7969,0.9763,0.0755,4.24,2,0.4275,0.44421
route-0484,18.296,46.459,2,1,0,3,1,2,0.5228,0.1177,0.9532,7.12,0,0.294,0.525917
route-0125,18.508,83.214,1,1,2,0,0,1,0.7387,0.8503,0.389,13.14,2,0.4179,0.492264
route-0453,4.844,15.239,0,0,0,3,2,3,0.116,0.8952,-0.0012,7.86,1,0.9888,0.385975
route-0703,15.157,41.271,1,1,3,2,1,0,0.3683,0.2909,0.416,9.5,0,0.1062,0.456002
route-0662,20.296,66.48,2,2,1,1,0,2,0.3357,0.4907,0.9642,9.0,2,0.6634,0.567715
route-0477,16.82,75.453,2,1,2,2,3,2,0.6104,0.1469,0.9769,10.08,2,0.8876,0.73347
route-0394,12.845,35.213,1,2,3,3,2,0,0.4953,0.0831,0.5607,10.62,1,0.4066,0.580814
route-0257,22.762,59.137,1,1,2,0,1,3,0.0439,0.8983,0.4262,8.65,1,0.9482,0.547121
route-0404,13.647,41.184,0,2,2,0,1,3,0.9478,0.9278,-0.0825,13.67,0,0.5461,0.484618
route-0191,3.839,15.143,2,0,3,3,0,2,0.0439,0.2315,1.0,7.54,0,0.8956,0.496712
route-0041,14.831,40.41,1,0,0,2,0,3,0.6103,0.379,0.3869,12.36,2,0.1818,0.40373
route-0334,6.591,20.064,1,0,2,3,2,1,0.0661,0.9271,0.6166,12.54,0,0.4899,0.454112
route-0141,23.033,62.502,0,0,1,0,1,1,0.6044,0.2045,0.0996,9.07,2,0.7755,0.352596
route-0376,8.985,29.413,0,1,2,1,1,1,0.3926,0.6455,-0.094,8.95,2,0.4313,0.346311
route-0130,17.032,83.797,2,1,2,1,0,3,0.455,0.9888,0.9697,10.72,0,0.9128,0.626939
route-0185,5.186,11.953,1,2,2,1,2,2,0.8864,0.7714,0.387,11.88,2,0.272,0.550943
route-0250,19.687,52.18,2,0,0,3,2,0,0.267,0.7855,1.0,10.52,0,0.1464,0.51398
route-0424,19.522,48.907,1,1,3,3,2,2,0.768,0.108,0.4402,8.47,0,0.6284,0.633684
route-0194,11.925,36.16,0,0,1,2,2,0,0.8359,0.3278,-0.0981,5.73,0,0.3557,0.364196
route-0757,2.284,5.892,1,0,1,3,0,3,0.3463,0.7327,0.5374,7.45,0,0.8069,0.374897
route-0153,4.971,17.772,1,1,2,0,1,3,0.7613,0.1022,0.401,7.74,1,0.557,0.411383
route-0610,1.886,6.11,2,1,1,0,1,2,0.2947,0.1441,1.0,13.69,0,0.913,0.393235
route-0316,5.059,15.917,2,1,2,2,1,2,0.7642,0.4306,1.0,9.69,1,0.5631,0.566246
route-0365,10.744,44.762,2,2,2,0,2,3,0.3686,0.5803,1.0,3.88,2,0.7302,0.664482
route-0652,21.03,79.416,1,0,0,0,0,2,0.6879,0.7916,0.4711,10.69,1,0.9249,0.377345
route-0228,17.603,63.944,0,1,2,1,0,0,0.2735,0.7612,-0.0795,11.41,1,0.4896,0.32534
route-0779,7.99,27.711,0,1,2,2,2,1,0.6339,0.4753,-0.0144,6.24,2,0.7437,0.445086
route-0618,16.68,77.243,1,1,0,1,3,3,0.5864,0.852,0.4496,4.67,1,0.4631,0.572839
route-0032,17.684,57.1,2,1,3,1,1,3,0.7518,0.8399,0.9466,11.55,1,0.4846,0.670248
route-0291,15.294,42.384,1,0,3,3,2,2,0.8543,0.2796,0.4232,4.44,1,0.5759,0.602367
route-0393,20.332,100.263,1,0,3,1,1,1,0.9463,0.9138,0.5956,7.6,2,0.0442,0.601104
route-0763,3.222,9.187,1,0,1,0,2,0,0.9274,0.7493,0.4814,3.25,1,0.9504,0.369932
route-0119,2.1,7.083,1,1,1,0,0,3,0.8217,0.2422,0.5174,10.71,0,0.1908,0.317366
route-0133,7.225,20.095,0,2,1,0,1,0,0.9941,0.9346,-0.1034,13.27,2,0.0317,0.339644
route-0640,5.564,14.203,0,1,2,1,1,0,0.0736,0.9592,-0.1017,10.56,1,0.3753,0.307914
route-0676,6.008,15.282,1,1,2,0,1,2,0.2752,0.3858,0.572,8.1,2,0.8135,0.39577
route-0046,9.166,18.373,0,1,3,0,1,3,0.577,0.6865,-0.0836,11.92,0,0.9491,0.403772
route-0057,23.567,88.843,0,2,3,1,1,0,0.7447,0.7052,0.0747,7.25,1,0.6637,0.582474
route-0636,14.374,43.48,1,0,3,1,1,0,0.4291,0.9394,0.4737,11.01,2,0.4031,0.43271
route-0200,12.113,45.477,1,2,1,1,2,1,0.5337,0.7912,0.5569,11.4,1,0.9478,0.551942
route-0777,11.401,26.27,0,0,1,2,2,0,0.169,0.4129,-0.0384,13.04,2,0.7956,0.300198
route-0313,2.604,9.825,0,2,0,0,0,3,0.4681,0.6389,-0.0334,11.18,0,0.8904,0.282959
route-0502,14.366,26.687,0,2,1,3,0,1,0.3292,0.0628,0.0301,3.31,0,0.4319,0.395392
route-0193,8.656,37.269,1,0,0,1,2,0,0.1057,0.4496,0.4554,4.33,0,0.3583,0.302121
route-0794,2.835,10.712,0,2,2,2,1,2,0.4718,0.8808,-0.1022,13.75,0,0.7324,0.438871
route-0396,1.531,6.848,2,0,3,2,1,3,0.6981,0.6125,1.0,5.28,1,0.6847,0.562996
route-0311,18.007,60.11,0,2,2,1,0,3,0.5241,0.4975,0.0124,9.74,0,0.3226,0.443213
route-0543,20.716,55.483,1,2,1,1,1,2,0.2832,0.5621,0.4954,6.67,1,0.7149,0.547954
route-0649,7.913,40.098,2,2,0,3,1,0,0.918,0.0391,1.0,3.76,2,0.0951,0.548257
route-0252,10.086,41.549,1,2,2,0,3,2,0.6206,0.7809,0.5888,12.13,0,0.9115,0.588799
route-0577,7.329,27.947,2,2,1,1,2,2,0.9184,0.6392,0.9688,11.55,0,0.6782,0.587804
route-0486,19.08,62.66,1,2,1,1,1,3,0.4491,0.8663,0.4581,11.8,2,0.6645,0.561963
route-0796,8.564,18.751,1,1,1,1,0,3,0.333,0.6777,0.549,5.81,1,0.7477,0.390616
route-0444,11.698,41.09,0,0,1,3,0,0,0.2001,0.3055,0.0182,4.22,1,0.2496,0.295531
route-0468,12.15,49.376,1,2,2,3,0,1,0.7262,0.4692,0.4851,8.58,1,0.5877,0.569214
route-0050,4.298,13.733,2,1,3,2,1,3,0.598,0.8894,1.0,9.64,0,0.0259,0.600997
route-0148,16.209,57.206,2,0,0,3,2,3,0.6367,0.7028,0.8998,12.3,0,0.6449,0.626765
route-0458,20.678,67.171,0,1,3,2,2,1,0.2985,0.8011,0.0566,13.14,0,0.9037,0.53654
route-0473,5.259,11.018,0,0,2,1,2,3,0.4984,0.8705,-0.083,7.0,2,0.8192,0.406273
route-0107,15.848,61.126,1,2,1,0,0,1,0.0263,0.554,0.4685,11.84,1,0.5516,0.360514
route-0431,12.488,62.655,2,2,1,2,2,2,0.6148,0.3633,0.9846,8.47,0,0.8473,0.672188
route-0378,8.921,32.472,1,2,0,3,1,0,0.2258,0.3844,0.5454,11.58,2,0.1212,0.438608
route-0549,16.227,50.367,2,1,1,1,2,1,0.4865,0.5026,0.9065,9.24,0,0.2126,0.540616
