objectPrior,confidence,proximity,relativeSpeed,userSpeed,objectPersistence,trafficDensity,hazardFrequency,lowVisibility,weatherRisk,roadOrReports,riskLabel
0.9484,1.0000,0.9465,0.8648,0.8638,0.9433,0.9475,0.7611,0.7774,0.6607,0.9758,CRITICAL
0.1065,0.8097,0.1194,0.1149,0.1315,0.0658,0.1112,0.0154,0.0446,0.0000,0.0614,LOW
0.5532,0.8185,0.5579,0.4876,0.6121,0.6535,0.6464,0.5377,0.5587,0.3658,0.6754,HIGH
0.0316,0.7177,0.0608,0.0246,0.0898,0.0064,0.0248,0.0538,0.1136,0.0095,0.1251,LOW
0.0017,0.7346,0.1051,0.0283,0.0346,0.1331,0.0000,0.0647,0.0579,0.0753,0.0819,LOW
0.9115,0.9635,0.9574,0.8393,0.8670,0.9890,0.8608,0.7796,0.7654,0.6050,0.7988,CRITICAL
0.1226,0.8094,0.0020,0.0215,0.1400,0.0000,0.1122,0.0550,0.0228,0.0337,0.0504,LOW
0.6348,0.9106,0.6737,0.5929,0.4776,0.6832,0.6856,0.6240,0.4919,0.4112,0.5939,HIGH
0.9364,0.9697,0.9285,0.8243,0.9834,1.0000,0.8704,0.7600,0.7530,0.6664,0.8738,CRITICAL
0.3674,0.7715,0.3544,0.3037,0.3550,0.3328,0.3816,0.1591,0.2074,0.2230,0.2225,MEDIUM
0.0263,0.6381,0.0727,0.0068,0.2143,0.1779,0.0904,0.0900,0.0436,0.0990,0.0260,LOW
0.7327,0.9556,0.5728,0.6103,0.7237,0.7165,0.7974,0.5369,0.6398,0.4878,0.6948,HIGH
0.9330,0.9529,0.9962,0.7366,0.8078,0.9789,0.9366,0.8051,0.8848,0.6997,0.8731,CRITICAL
0.6938,0.8101,0.6533,0.6683,0.5668,0.6702,0.5909,0.5921,0.4183,0.4108,0.6224,HIGH
0.3749,0.8009,0.2692,0.1541,0.3162,0.3168,0.1590,0.1431,0.2283,0.1815,0.3533,MEDIUM
0.6862,0.7649,0.8018,0.5951,0.7005,0.6820,0.5885,0.4652,0.4558,0.3974,0.7514,HIGH
0.5796,0.7869,0.6553,0.5236,0.5938,0.6564,0.6974,0.6138,0.4227,0.3771,0.6355,HIGH
0.3017,0.7307,0.2076,0.3044,0.3877,0.3396,0.2174,0.2384,0.1999,0.0235,0.1982,MEDIUM
0.8756,0.9736,0.9966,0.8467,0.8941,1.0000,0.8564,0.8679,0.6023,0.6233,0.9683,CRITICAL
0.6109,0.8275,0.5470,0.5747,0.5007,0.6476,0.5666,0.4885,0.4881,0.3703,0.6396,HIGH
0.3205,0.8433,0.1219,0.2277,0.2694,0.3030,0.2885,0.2578,0.0932,0.1453,0.2621,MEDIUM
0.8857,0.9367,0.8757,0.8342,0.8183,0.9390,0.9388,0.7930,0.7219,0.7351,0.8617,CRITICAL
0.0587,0.6872,0.1112,0.0000,0.1048,0.1122,0.1558,0.0781,0.0123,0.0463,0.0334,LOW
0.3697,0.8649,0.2808,0.1974,0.4589,0.3283,0.3699,0.3234,0.2430,0.1893,0.3423,MEDIUM
0.6712,0.7964,0.5778,0.5338,0.6191,0.5831,0.7193,0.5125,0.5270,0.4214,0.4583,HIGH
0.1146,0.7886,0.0020,0.1012,0.0572,0.0727,0.0156,0.0411,0.0534,0.0570,0.0329,LOW
0.3228,0.8336,0.3528,0.1916,0.2816,0.2624,0.2229,0.2282,0.2231,0.2473,0.1201,MEDIUM
0.2872,0.8390,0.2976,0.2282,0.2464,0.3082,0.3770,0.2170,0.2605,0.1715,0.1633,MEDIUM
0.0538,0.6880,0.1071,0.0000,0.3007,0.0442,0.1123,0.0948,0.0826,0.0657,0.0864,LOW
0.4881,0.8602,0.4450,0.3927,0.3390,0.3487,0.2853,0.2058,0.2660,0.1862,0.1792,MEDIUM
0.2729,0.8103,0.3361,0.2272,0.2492,0.1807,0.3114,0.2475,0.1362,0.1974,0.2224,MEDIUM
0.6525,0.9880,0.5893,0.5535,0.5782,0.7156,0.5877,0.5726,0.6003,0.3360,0.6307,HIGH
0.0381,0.6911,0.0835,0.0085,0.0263,0.0871,0.1699,0.1041,0.0527,0.0471,0.0747,LOW
0.7599,0.8639,0.7895,0.5233,0.6279,0.5822,0.6979,0.6420,0.5357,0.4567,0.4962,HIGH
0.2666,0.8442,0.3744,0.2301,0.4110,0.2320,0.2520,0.2975,0.1894,0.0972,0.1121,MEDIUM
0.9795,0.9788,0.9533,0.9084,0.8199,0.8725,0.9837,0.7411,0.7141,0.6558,0.9289,CRITICAL
0.7245,0.9147,0.7573,0.4917,0.5493,0.7230,0.6200,0.6095,0.4957,0.4475,0.6030,HIGH
0.0115,0.7191,0.0082,0.0685,0.2124,0.0266,0.0547,0.0246,0.0646,0.0728,0.0551,LOW
0.3287,0.8416,0.3399,0.2529,0.1613,0.2795,0.2605,0.2459,0.2355,0.2325,0.3551,MEDIUM
0.9222,1.0000,0.9960,0.8120,0.8552,0.9835,0.9676,0.7578,0.7116,0.6567,0.8925,CRITICAL
0.9647,0.9906,0.8679,0.7018,0.8662,0.9970,0.8330,0.7692,0.8233,0.6866,0.8687,CRITICAL
0.6526,0.8618,0.6500,0.5370,0.5340,0.6432,0.5954,0.5442,0.4883,0.4554,0.5813,HIGH
0.1301,0.6531,0.1049,0.0221,0.1369,0.0352,0.0857,0.0880,0.1078,0.0444,0.0196,LOW
0.1228,0.7035,0.1064,0.0000,0.0348,0.1286,0.0339,0.0031,0.0677,0.0321,0.0000,LOW
0.5932,0.7760,0.6165,0.4594,0.6188,0.5575,0.5931,0.5361,0.5333,0.4718,0.6925,HIGH
0.3640,0.8133,0.2964,0.2052,0.3132,0.2601,0.2661,0.3196,0.1730,0.1893,0.3050,MEDIUM
0.9252,0.9344,0.9315,0.9048,0.8301,0.9722,0.8326,0.9200,0.8024,0.6873,0.9280,CRITICAL
0.1090,0.6479,0.0604,0.0673,0.1598,0.0892,0.0000,0.1112,0.0301,0.0000,0.0303,LOW
0.1399,0.6720,0.1075,0.0895,0.2238,0.0610,0.0158,0.0346,0.0028,0.0246,0.0238,LOW
0.3172,0.7764,0.2972,0.2123,0.2693,0.3180,0.1751,0.2868,0.2073,0.1619,0.3710,MEDIUM
0.6168,0.9491,0.5965,0.5829,0.5513,0.7567,0.6413,0.5671,0.5034,0.4916,0.5589,HIGH
0.9359,0.9456,0.8750,0.8941,0.9058,1.0000,0.8994,0.7750,0.7563,0.5785,0.9176,CRITICAL
0.6159,0.9446,0.7528,0.5805,0.5757,0.6727,0.6754,0.6112,0.5044,0.3974,0.6808,HIGH
0.0635,0.7929,0.0324,0.1363,0.1110,0.1181,0.0678,0.0392,0.0255,0.1106,0.0770,LOW
0.0670,0.6124,0.1550,0.0173,0.0336,0.0508,0.1468,0.0509,0.0421,0.1013,0.0509,LOW
0.3288,0.9262,0.3424,0.2718,0.3813,0.1475,0.3848,0.3199,0.2566,0.1648,0.2143,MEDIUM
0.0000,0.7033,0.0565,0.0793,0.0983,0.0761,0.0929,0.0792,0.0223,0.0374,0.0087,LOW
0.9363,0.9911,0.9283,0.8287,0.7895,0.9450,0.8008,0.8458,0.7049,0.6023,0.9363,CRITICAL
0.3690,0.8175,0.2794,0.2411,0.3193,0.2989,0.3271,0.1599,0.2092,0.2827,0.2274,MEDIUM
0.3747,0.7531,0.3423,0.2065,0.2809,0.3840,0.2471,0.2454,0.1843,0.1481,0.2552,MEDIUM
0.3088,0.7527,0.2784,0.3459,0.2818,0.2483,0.2421,0.1905,0.2398,0.1735,0.3401,MEDIUM
0.3425,0.9515,0.4059,0.2019,0.1520,0.3281,0.3563,0.1920,0.2380,0.1167,0.3118,MEDIUM
0.2863,0.7821,0.3627,0.2729,0.2590,0.2286,0.2848,0.2093,0.2122,0.1606,0.1685,MEDIUM
0.6678,0.8888,0.6037,0.5407,0.5980,0.7044,0.6642,0.5269,0.4706,0.4265,0.4514,HIGH
0.1317,0.7419,0.1710,0.0964,0.0501,0.0793,0.1103,0.0766,0.0524,0.0431,0.0925,LOW
0.9010,0.9609,0.9771,0.7948,0.8825,0.9081,0.9517,0.7941,0.7429,0.6941,0.8563,CRITICAL
0.3490,0.8384,0.2773,0.2296,0.1928,0.3710,0.2697,0.3338,0.1966,0.0704,0.2708,MEDIUM
0.6021,0.7783,0.5807,0.5513,0.4960,0.5929,0.6727,0.5239,0.4240,0.3641,0.6792,HIGH
0.9180,0.9724,0.8126,0.8578,0.7767,0.9141,0.7692,0.7332,0.7429,0.7692,0.8506,CRITICAL
0.0439,0.7036,0.0395,0.0117,0.1736,0.1263,0.0023,0.0862,0.0746,0.0000,0.0079,LOW
0.1144,0.8563,0.0875,0.0872,0.0000,0.1456,0.0771,0.0768,0.1154,0.0242,0.0248,LOW
0.3191,0.8247,0.2024,0.2454,0.3216,0.3691,0.3642,0.1446,0.2278,0.0927,0.2143,MEDIUM
0.3434,0.8457,0.2812,0.2914,0.2721,0.0606,0.2746,0.2281,0.3068,0.2550,0.1583,MEDIUM
0.2547,0.7032,0.3613,0.2167,0.3415,0.3284,0.2593,0.2669,0.1608,0.1928,0.2982,MEDIUM
0.6927,0.9186,0.5920,0.5129,0.5139,0.6325,0.5600,0.5889,0.4755,0.3789,0.5648,HIGH
0.3496,0.8267,0.3740,0.3069,0.3196,0.3733,0.2380,0.1585,0.1179,0.1671,0.2110,MEDIUM
0.0549,0.8616,0.0604,0.0733,0.0744,0.1151,0.0000,0.1002,0.0300,0.0000,0.0451,LOW
0.5570,0.7817,0.2315,0.2992,0.4024,0.2418,0.3163,0.2617,0.2443,0.2057,0.2126,MEDIUM
0.5066,0.8370,0.4362,0.3944,0.3533,0.2683,0.2956,0.2281,0.3006,0.2287,0.2357,MEDIUM
0.0091,0.7859,0.0774,0.1428,0.0747,0.0457,0.0805,0.0823,0.0000,0.0396,0.0000,LOW
0.3361,0.8437,0.3708,0.1979,0.2662,0.2466,0.1998,0.2110,0.1889,0.2045,0.2829,MEDIUM
0.3335,0.6778,0.3776,0.2315,0.3109,0.3629,0.1972,0.1908,0.2155,0.1815,0.2184,MEDIUM
0.6791,0.7827,0.6360,0.6043,0.4465,0.6596,0.6317,0.5143,0.5642,0.4774,0.5820,HIGH
0.9268,0.8935,0.9806,0.8403,0.7577,0.8399,0.8171,0.7926,0.8006,0.5995,0.8825,CRITICAL
0.6288,0.8888,0.4710,0.6658,0.6760,0.7126,0.6363,0.6330,0.3736,0.4194,0.6361,HIGH
0.1232,0.7216,0.1272,0.0879,0.0954,0.1000,0.0640,0.0847,0.0605,0.0000,0.0348,LOW
0.7639,0.9328,0.6593,0.6241,0.5483,0.6719,0.6563,0.6427,0.5111,0.4700,0.7114,HIGH
0.3318,0.6782,0.3819,0.3802,0.4397,0.4370,0.3976,0.1814,0.1795,0.3438,0.1608,MEDIUM
0.8817,0.9571,0.8732,0.7782,0.7996,0.9223,0.8852,0.6787,0.6851,0.6828,0.8245,CRITICAL
0.9579,0.9426,1.0000,0.7633,0.8574,0.9752,1.0000,0.7857,0.6391,0.5609,0.8659,CRITICAL
0.9447,1.0000,0.9063,0.7615,0.8597,0.9880,0.8418,0.7974,0.7949,0.6917,0.9393,CRITICAL
0.3824,0.7870,0.2949,0.2561,0.2848,0.3474,0.2672,0.2444,0.2364,0.1992,0.2993,MEDIUM
0.4110,0.7660,0.3527,0.1563,0.3556,0.2038,0.2229,0.1631,0.1314,0.1095,0.1080,MEDIUM
0.0029,0.6262,0.0616,0.0069,0.0818,0.1464,0.0778,0.0592,0.0925,0.0000,0.0315,LOW
0.3587,0.8223,0.2838,0.3426,0.2527,0.4310,0.3145,0.2615,0.2265,0.2070,0.2630,MEDIUM
0.6531,0.7525,0.7243,0.5448,0.5198,0.6697,0.6694,0.5414,0.5406,0.4486,0.6087,HIGH
0.9659,0.9617,0.9303,0.7860,0.8501,0.9818,0.9031,0.8608,0.7121,0.8210,0.8686,CRITICAL
0.6186,0.8464,0.6148,0.5436,0.5942,0.6935,0.6627,0.5122,0.6382,0.4208,0.6573,HIGH
0.9606,0.9693,0.9552,0.9365,0.8766,0.9194,0.9252,0.7784,0.7123,0.6731,0.9305,CRITICAL
0.6850,0.9219,0.5737,0.4546,0.5771,0.7002,0.6339,0.5169,0.4408,0.4657,0.5988,HIGH
0.6390,0.9251,0.5494,0.4331,0.5865,0.6957,0.7345,0.5447,0.4818,0.3769,0.5173,HIGH
0.9241,1.0000,0.9115,0.9017,0.7772,0.8751,0.8145,0.6830,0.6956,0.7276,0.9892,CRITICAL
0.9792,0.9433,0.8565,0.7818,0.8175,0.9948,0.9116,0.9142,0.7440,0.5666,0.8442,CRITICAL
0.6438,0.9160,0.7227,0.5569,0.5554,0.6078,0.6589,0.5670,0.4496,0.3811,0.6259,HIGH
0.6417,0.8537,0.7071,0.5778,0.5172,0.7366,0.6075,0.5805,0.5957,0.3251,0.4225,HIGH
0.3144,0.7532,0.2723,0.3778,0.2475,0.2603,0.4217,0.2940,0.2617,0.1337,0.2152,MEDIUM
0.3577,0.8498,0.3145,0.1025,0.2004,0.4274,0.2652,0.3469,0.1748,0.2099,0.4655,MEDIUM
0.4057,0.7972,0.2881,0.1311,0.3806,0.3101,0.2407,0.2482,0.2100,0.1731,0.1734,MEDIUM
0.0279,0.7359,0.0358,0.0168,0.0436,0.0868,0.1507,0.0721,0.1539,0.1133,0.0932,LOW
0.3618,0.8328,0.3736,0.3139,0.3792,0.2307,0.2188,0.2192,0.2510,0.1409,0.3000,MEDIUM
0.0832,0.7876,0.0723,0.0842,0.0032,0.0213,0.0407,0.1689,0.0834,0.0724,0.0146,LOW
0.6708,0.8810,0.6567,0.6460,0.6284,0.7696,0.6875,0.6294,0.5415,0.4384,0.6555,HIGH
0.3643,0.8299,0.3095,0.2684,0.1799,0.0961,0.3480,0.2907,0.2006,0.3076,0.2735,MEDIUM
0.1021,0.6988,0.0000,0.0000,0.0319,0.0189,0.1751,0.0064,0.0275,0.0000,0.0264,LOW
0.9428,0.9765,0.8522,0.7873,0.8405,0.8956,0.7956,0.7955,0.6834,0.6383,0.8285,CRITICAL
0.1007,0.7939,0.1623,0.0344,0.1793,0.0000,0.0317,0.0308,0.0320,0.0521,0.0263,LOW
0.5848,0.8598,0.7086,0.5018,0.6125,0.7330,0.6015,0.5274,0.4491,0.4200,0.7365,HIGH
0.8684,0.9346,0.9106,0.9011,0.8283,0.9092,0.7554,0.8669,0.7085,0.6640,0.8489,CRITICAL
0.7862,0.9342,0.5560,0.5761,0.7132,0.5981,0.5244,0.5425,0.5418,0.4917,0.6257,HIGH
0.2743,0.7363,0.2893,0.2339,0.2862,0.2627,0.3420,0.1757,0.1262,0.1740,0.1793,MEDIUM
0.9625,0.9826,0.9216,0.8307,0.7812,0.9920,0.8702,0.8235,0.8019,0.5636,0.8620,CRITICAL
0.0395,0.7086,0.1169,0.0094,0.0421,0.1339,0.0936,0.0379,0.0048,0.0522,0.0115,LOW
0.6523,0.9220,0.6618,0.5019,0.6041,0.6510,0.6122,0.4897,0.3829,0.5037,0.7503,HIGH
0.1727,0.7653,0.0594,0.0180,0.0692,0.0496,0.1110,0.1739,0.0932,0.0960,0.0973,LOW
0.6156,0.9425,0.6452,0.4983,0.5601,0.5494,0.6861,0.5414,0.4725,0.3173,0.7425,HIGH
0.3517,0.7682,0.3226,0.1971,0.3711,0.2286,0.3133,0.1540,0.2460,0.1541,0.2364,MEDIUM
0.7331,0.9588,0.5827,0.5038,0.6424,0.6472,0.5133,0.5398,0.4740,0.4801,0.5685,HIGH
0.6537,0.8846,0.5312,0.4613,0.6497,0.5573,0.7129,0.6178,0.4368,0.4251,0.6489,HIGH
0.8691,0.9404,0.8964,0.7187,0.6683,0.9705,0.9170,0.8845,0.6417,0.6942,0.8895,CRITICAL
0.2605,0.7703,0.3247,0.3302,0.3738,0.4535,0.3482,0.2305,0.2507,0.1890,0.2256,MEDIUM
0.8869,0.9638,0.8768,0.8340,0.8167,0.9250,0.8801,0.8129,0.7924,0.5694,0.8341,CRITICAL
0.9530,0.9853,0.9260,0.8843,0.7975,0.9491,0.9171,0.7375,0.7498,0.6524,0.8738,CRITICAL
0.4233,0.7990,0.2959,0.1209,0.2617,0.3236,0.3261,0.2225,0.1550,0.2426,0.2770,MEDIUM
0.3099,0.8796,0.4418,0.1999,0.2948,0.2683,0.3127,0.2534,0.1660,0.1492,0.1649,MEDIUM
0.2737,0.8115,0.3226,0.3401,0.2535,0.3509,0.3529,0.2255,0.1960,0.1834,0.3703,MEDIUM
0.3347,0.7573,0.5060,0.3052,0.3709,0.2341,0.2679,0.2107,0.1751,0.2231,0.1898,MEDIUM
0.3051,0.8136,0.2849,0.2752,0.3785,0.2775,0.3512,0.1768,0.2093,0.2369,0.3572,MEDIUM
0.5899,0.8345,0.7005,0.5748,0.4691,0.7888,0.6867,0.7403,0.5133,0.4436,0.7119,HIGH
0.9312,0.9487,0.9774,0.8103,0.7326,0.9601,0.8914,0.8025,0.7814,0.7110,0.9199,CRITICAL
0.1073,0.7490,0.1041,0.0419,0.0718,0.0578,0.0245,0.0208,0.0881,0.0473,0.0274,LOW
0.6750,0.8076,0.6947,0.5911,0.5677,0.7291,0.6501,0.5464,0.4765,0.3896,0.6484,HIGH
0.9646,0.9115,0.9613,0.8743,0.8743,0.9297,0.7619,0.7763,0.7749,0.5907,0.9653,CRITICAL
0.6382,0.8190,0.7081,0.5849,0.5168,0.6373,0.5955,0.6199,0.4785,0.3901,0.5145,HIGH
0.6688,0.9068,0.5487,0.6150,0.5501,0.6557,0.5481,0.4428,0.3899,0.4165,0.5975,HIGH
0.3897,0.7656,0.2672,0.2484,0.3411,0.2572,0.3393,0.2354,0.2179,0.1927,0.3020,MEDIUM
0.0857,0.6895,0.0126,0.0825,0.0468,0.1177,0.0247,0.0000,0.0999,0.0000,0.0188,LOW
0.9282,0.9773,0.9680,0.7168,0.8040,0.8752,0.9452,0.9049,0.7484,0.5584,0.9092,CRITICAL
0.0131,0.7577,0.0410,0.0279,0.0841,0.0042,0.1189,0.0584,0.0720,0.0000,0.0788,LOW
0.1276,0.7056,0.1167,0.0074,0.1026,0.0195,0.1108,0.0406,0.0599,0.0232,0.1167,LOW
0.2845,0.8216,0.3383,0.1635,0.2890,0.2617,0.2672,0.2841,0.2650,0.2946,0.1880,MEDIUM
0.9024,0.9234,0.9273,0.7965,0.9245,0.9975,0.8775,0.8637,0.7425,0.6993,0.8304,CRITICAL
0.4539,0.8515,0.3492,0.1822,0.2147,0.2468,0.3420,0.1740,0.2874,0.0966,0.2844,MEDIUM
0.8860,0.9884,0.9489,0.8358,0.7531,0.9322,0.8675,0.7662,0.6351,0.6316,0.8112,CRITICAL
0.8968,0.9705,0.8754,0.8305,0.8080,0.9892,0.9202,0.7905,0.6665,0.6304,0.8207,CRITICAL
0.9298,0.9367,0.8781,0.8203,0.9465,0.9597,0.8409,0.8239,0.6635,0.5794,0.8562,CRITICAL
0.5404,0.9427,0.6430,0.4955,0.6639,0.6426,0.6579,0.4690,0.4868,0.3740,0.6168,HIGH
0.9424,0.9907,0.9341,0.8143,0.8900,0.9783,0.8694,0.7841,0.7366,0.5712,0.8707,CRITICAL
0.6974,0.7809,0.5464,0.5421,0.5089,0.7585,0.6499,0.6341,0.5391,0.4545,0.5846,HIGH
0.9431,0.9570,0.9067,0.8381,0.8564,0.9395,0.8833,0.8897,0.6367,0.6507,0.9282,CRITICAL
0.3918,0.7925,0.3141,0.3981,0.3729,0.2374,0.3752,0.2719,0.2739,0.1600,0.2981,MEDIUM
0.3713,0.8637,0.3566,0.2205,0.3246,0.1438,0.4403,0.2077,0.3217,0.2087,0.2352,MEDIUM
0.6505,0.9162,0.5299,0.3729,0.5062,0.7057,0.5487,0.5887,0.4116,0.3610,0.6607,HIGH
0.0619,0.5978,0.1056,0.0000,0.0967,0.1132,0.0121,0.0803,0.0250,0.0068,0.0156,LOW
0.9088,0.9830,0.8707,0.8618,0.8775,0.9487,0.9067,0.8658,0.6654,0.5872,0.9151,CRITICAL
0.7071,0.8636,0.6711,0.6213,0.4970,0.6469,0.5767,0.6413,0.5375,0.4518,0.6081,HIGH
0.1059,0.7183,0.1531,0.0613,0.0000,0.1142,0.1025,0.0226,0.0509,0.0466,0.0739,LOW
0.0613,0.6930,0.1240,0.0589,0.0929,0.1036,0.0651,0.0202,0.0586,0.0349,0.0382,LOW
0.6448,0.8230,0.5379,0.5945,0.5457,0.6345,0.6586,0.6051,0.3738,0.4318,0.6053,HIGH
0.6303,0.9241,0.5947,0.5327,0.6554,0.6232,0.6585,0.6430,0.4022,0.4159,0.6499,HIGH
0.9111,0.9450,0.9806,0.7966,0.8017,0.9879,1.0000,0.7871,0.6803,0.6872,0.7795,CRITICAL
0.8377,0.8933,0.5916,0.4566,0.6576,0.6862,0.6568,0.5377,0.4127,0.3876,0.5575,HIGH
0.8716,0.8837,1.0000,0.8675,0.8756,0.9403,0.9953,0.7756,0.7320,0.6867,0.7723,CRITICAL
0.8488,0.9509,0.9158,0.7743,0.8209,0.9600,0.9190,0.8753,0.8578,0.6278,0.9195,CRITICAL
0.0255,0.7540,0.1192,0.0213,0.1684,0.1186,0.0865,0.0027,0.1264,0.0598,0.0000,LOW
0.9044,0.9425,0.8665,0.8880,0.8688,1.0000,0.9009,0.8868,0.7496,0.7527,0.8821,CRITICAL
0.4410,0.9396,0.4870,0.2970,0.3459,0.2114,0.4018,0.1557,0.2521,0.0448,0.0863,MEDIUM
0.0110,0.7431,0.1360,0.0722,0.1207,0.0841,0.0960,0.0719,0.0640,0.1008,0.0946,LOW
0.9773,0.9878,0.9226,0.7654,0.8373,0.9461,0.9474,0.6888,0.7124,0.6727,0.8372,CRITICAL
0.6609,0.8382,0.6387,0.5423,0.5217,0.7667,0.6948,0.5103,0.3440,0.3194,0.6871,HIGH
0.4055,0.9622,0.2644,0.1925,0.2916,0.3858,0.2936,0.1943,0.2138,0.0924,0.1825,MEDIUM
0.6097,0.8022,0.7367,0.4899,0.5673,0.6618,0.6703,0.6915,0.5076,0.4916,0.5680,HIGH
0.0845,0.7041,0.0216,0.0217,0.1328,0.1542,0.1461,0.0299,0.0364,0.0725,0.0301,LOW
0.1247,0.6387,0.1223,0.0252,0.1758,0.1182,0.0000,0.0467,0.0000,0.0021,0.0815,LOW
0.1345,0.8029,0.0307,0.0293,0.1590,0.1674,0.1168,0.1693,0.0349,0.0283,0.1077,LOW
0.2474,0.8895,0.2934,0.2544,0.2077,0.3070,0.4440,0.2829,0.2594,0.2362,0.1985,MEDIUM
0.0037,0.8280,0.0475,0.0934,0.1886,0.0499,0.0218,0.0000,0.0554,0.0200,0.0472,LOW
0.6221,0.8852,0.7040,0.5008,0.6366,0.7007,0.6810,0.5223,0.4374,0.3989,0.5794,HIGH
1.0000,1.0000,0.9215,0.8155,0.8526,0.8775,0.8283,0.7984,0.7083,0.7416,0.9374,CRITICAL
0.1089,0.6534,0.0928,0.0372,0.0695,0.0675,0.0216,0.0761,0.0007,0.0195,0.0000,LOW
0.0502,0.7007,0.0424,0.0986,0.0679,0.0574,0.1742,0.1083,0.0678,0.0457,0.0890,LOW
0.9131,0.9920,0.9402,0.8782,0.8303,0.9114,0.9770,0.7892,0.7285,0.7168,0.7667,CRITICAL
0.5927,0.8303,0.6055,0.5369,0.5362,0.6743,0.6038,0.5219,0.4978,0.4365,0.5466,HIGH
0.3899,0.7641,0.4017,0.2070,0.3189,0.3123,0.2507,0.3124,0.0811,0.2147,0.2952,MEDIUM
0.3175,0.7879,0.3454,0.2713,0.3865,0.2228,0.3895,0.0995,0.2020,0.0435,0.1877,MEDIUM
0.9233,0.9429,0.9496,0.8164,0.9890,0.9543,0.8807,0.7898,0.6688,0.6450,0.9346,CRITICAL
0.6046,0.9020,0.5715,0.5787,0.6333,0.7012,0.6474,0.5492,0.4358,0.4620,0.6546,HIGH
0.6661,0.7718,0.7133,0.6689,0.7035,0.6410,0.6442,0.5995,0.5874,0.4684,0.6357,HIGH
0.9648,0.9532,0.9546,0.8181,0.7462,0.8893,0.8871,0.7600,0.7025,0.5776,0.8362,CRITICAL
0.6705,0.8272,0.6192,0.4805,0.5912,0.5674,0.6563,0.5270,0.4750,0.4600,0.6465,HIGH
0.4543,0.7981,0.3111,0.3670,0.2539,0.3388,0.2460,0.2648,0.3100,0.1539,0.2999,MEDIUM
